Artist(S) Name,Cover Url,Key,Mode,Released Day,Released Month,Released Year,Released Year (bin),Track Name,Acousticness %,Artist Count,Bpm,Danceability %,Energy %,In Apple Charts,In Apple Playlists,In Deezer Charts,In Deezer Playlists,In Shazam Charts,In Spotify Charts,In Spotify Playlists,Instrumentalness %,Liveness %,Speechiness %,Streams,Valence %
"Nile Rodgers, LE SSERAFIM",Not Found,E,Minor,1,5,2023,2020,UNFORGIVEN (feat. Nile Rodgers),11,2,104,80,88,110,14,0,9,49,13,327,0,11,5,92035115,38
Agust D,https://i.scdn.co/image/ab67616d0000b273fa9247b68471b82d2125651e,G,Major,21,4,2023,2020,Haegeum,31,1,85,70,84,84,6,2,10,9,12,244,0,47,30,118810253,83
"Rich The Kid, MatuÃ¯Â¿",Not Found,F#,Minor,30,4,2023,2020,ConexÃ¯Â¿Â½Ã¯Â¿Â½es de MÃ¯Â¿Â½Ã¯Â¿Â½fia (feat. Rich,39,2,117,77,58,7,17,1,41,29,4,385,0,26,5,77233241,69
Karol G,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,,Major,24,2,2023,2020,MIENTRAS ME CURO DEL CORA,86,1,80,52,48,26,15,6,30,0,35,1020,0,15,39,206399629,57
Labrinth,https://i.scdn.co/image/ab67616d0000b2737dda6cb97a57f116f6fbf0be,F,Major,7,4,2023,2020,Never Felt So Alone,50,1,98,44,41,5,46,0,51,20,3,1730,0,38,5,117747907,36
"Karol G, Romeo Santos",https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,C#,Minor,2,2,2023,2020,X SI VOLVEMOS,34,2,178,79,78,80,45,8,53,4,33,2127,0,11,25,266624541,58
Lizzy McAlpine,https://i.scdn.co/image/ab67616d0000b273d370fdc4dbc47778b9b667c3,A,Major,8,4,2022,2020,ceilings,48,1,148,51,33,55,67,0,48,6,9,3242,0,22,3,293186992,27
Fifty Fifty,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,D,Major,24,2,2023,2020,Cupid,65,1,120,77,66,93,15,0,30,320,10,526,0,38,3,139681964,94
IVE,https://i.scdn.co/image/ab67616d0000b27325ef3cec1eceefd4db2f91c8,E,Minor,10,4,2023,2020,I AM,1,1,122,68,88,102,16,0,7,55,15,366,0,8,5,123132751,38
sped up 8282,Not Found,F,Major,1,1,1997,1995,Cupid Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Twin Ver. (FIFTY FIFTY) Ã¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Spe,42,1,144,74,73,0,0,0,6,0,2,472,0,9,4,103762518,75
"Cartel De Santa, La Kelly",https://i.scdn.co/image/ab67616d0000b273608e249e118a39e897f149ce,D,Major,4,3,2023,2020,Shorty Party,33,2,96,93,47,14,8,2,12,33,12,432,0,10,36,162887075,47
SEVENTEEN,https://i.scdn.co/image/ab67616d0000b27380e31ba0c05187e6310ef264,G#,Major,24,4,2023,2020,Super,16,1,137,77,88,103,16,0,9,55,12,271,0,17,9,91221625,35
NLE Choppa,https://i.scdn.co/image/ab67616d0000b27349a4f6c9a637e02252a0076d,F#,Minor,22,4,2022,2020,Slut Me Out,12,1,121,94,61,4,21,0,13,4,4,816,0,53,42,190490915,71
"The Weeknd, Future",https://i.scdn.co/image/ab67616d0000b273c7d6fe09dfe4af1580e59705,A,Minor,21,4,2023,2020,Double Fantasy (with Future),1,2,119,60,57,65,36,0,28,0,0,1169,0,50,3,96180277,10
Taylor Swift,https://i.scdn.co/image/ab67616d0000b2738481d8f15859aa5bae75ee17,D,Major,23,8,2019,2015,All Of The Girls You Loved Before,71,1,96,72,47,6,26,0,19,5,6,1282,0,13,4,185240616,40
Karol G,https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,C#,Major,21,4,2022,2020,PROVENZA,66,1,111,87,52,104,114,11,147,20,34,6587,1,11,5,885093467,53
"Nicki Minaj, Ice Spice",Not Found,A,Major,14,4,2023,2020,Princess Diana (with Nicki Minaj),14,2,148,90,68,0,0,0,0,0,4,1444,0,10,19,104992946,74
"Grupo Marca Registrada, Grupo Frontera",https://i.scdn.co/image/ab67616d0000b273aab35973ece2916fb24244fe,A,Major,3,2,2023,2020,Di Que Si,8,2,182,57,59,64,4,2,4,37,10,356,0,6,5,147290338,80
Ed Sheeran,https://i.scdn.co/image/ab67616d0000b273ef24c3fdbf856340d55cfeb2,D,Major,9,9,2021,2020,Shivers,28,1,141,79,86,71,234,18,543,,30,10147,0,4,9,1302184087,82
"Fuerza Regida, Peso Pluma",Not Found,E,Minor,30,12,2022,2020,Igualito a Mi ApÃ¯Â¿,19,2,145,76,81,84,8,1,5,4,6,265,0,6,9,158950978,80
"TAEYANG, Lisa",https://i.scdn.co/image/ab67616d0000b27346313223adf2b6d726388328,B,Minor,25,4,2023,2020,Shoong! (feat. LISA of BLACKPINK),1,2,110,76,70,90,16,0,10,64,9,351,0,41,6,76910644,26
Raim Laode,https://i.scdn.co/image/ab67616d0000b273f20ec6ba1f431a90dbf2e8b6,G,Major,16,8,2022,2020,Komang,41,1,134,70,41,6,5,1,1,18,4,158,0,10,3,137123880,35
ROSALÃ¯Â¿Â½,Not Found,G,Major,28,7,2022,2020,DESPECHÃ¯Â¿,18,1,130,92,62,90,180,15,422,55,33,7613,0,6,10,782369383,78
Meghan Trainor,https://i.scdn.co/image/ab67616d0000b2731a4f1ada93881da4ca8060ff,A#,Major,21,10,2022,2020,Made You Look,35,1,145,84,53,23,142,3,127,16,6,3956,0,8,7,502574952,88
"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",Not Found,B,Minor,5,2,2023,2020,Watch This - ARIZONATEARS Pluggnb Remix,1,3,130,69,90,0,0,0,21,0,10,1638,10,15,4,207033255,36
Grupo Frontera,https://i.scdn.co/image/ab67616d0000b273042b5cc9a1a0a97cfc005ee8,,Major,28,4,2022,2020,No Se Va,12,1,173,59,53,80,17,9,22,38,18,924,0,23,3,404887295,69
Quevedo,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0,B,Minor,4,11,2022,2020,Punto G,25,1,92,75,76,26,34,5,37,1,35,1985,0,10,15,381161027,55
TV Girl,https://i.scdn.co/image/ab67616d0000b273e1bc1af856b42dd7fdba9f84,F,Minor,5,6,2014,2010,Lovers Rock,0,1,105,56,87,1,3,1,36,37,13,6339,1,10,4,466231982,57
INTERWORLD,https://i.scdn.co/image/ab67616d0000b273b852a616ae3a49a1f6b0f16e,G,Minor,25,11,2021,2020,METAMORPHOSIS,43,1,175,59,64,78,18,0,24,30,24,1561,90,12,10,357580552,15
"Quevedo, Jhayco",Not Found,G,Minor,27,4,2023,2020,Mami Chula,22,2,120,80,70,13,17,0,27,43,4,875,0,9,4,61105704,33
"El Chachito, Junior H",https://i.scdn.co/image/ab67616d0000b27354c372ef8e7b53bb3c932ac5,D#,Minor,24,12,2022,2020,En Paris,37,2,139,70,48,31,3,1,2,0,5,406,0,12,5,198275403,77
Jimin,https://i.scdn.co/image/ab67616d0000b2734f4ec2c2a865569bd4a067a4,,Minor,17,3,2023,2020,Set Me Free Pt.2,12,1,132,59,82,71,4,1,16,9,13,340,0,12,6,168448603,56
"The Weeknd, Gesaffelstein",https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,A#,Major,29,3,2018,2015,I Was Never There,14,2,114,32,74,70,30,0,142,27,15,4188,0,17,3,705469769,17
"RM, Colde",Not Found,B,Minor,4,5,2023,2020,Don't ever say love me (feat. RM of BTS),36,2,145,54,48,9,5,0,5,0,0,105,0,37,5,34502215,19
BLACKPINK,https://i.scdn.co/image/ab67616d0000b273002ef53878df1b4e91c15406,,Major,16,9,2022,2020,Shut Down,0,1,110,82,69,120,53,0,62,2,17,1524,0,18,4,482175240,67
"Nengo Flow, Bad Bunny",https://i.scdn.co/image/ab67616d0000b273ed132404686f567c8f793058,G#,Major,22,12,2022,2020,Gato de Noche,17,2,94,89,66,55,21,3,32,0,30,2651,0,36,16,304118600,61
The Weeknd,https://i.scdn.co/image/ab67616d0000b2731f6a2a40bb692936879db730,C#,Major,29,3,2018,2015,Call Out My Name,21,1,134,45,60,107,151,1,801,105,6,11087,0,33,4,1449799467,17
Jimin,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,G,Major,24,3,2023,2020,Like Crazy (English Version),0,1,120,62,76,72,4,0,5,5,19,373,0,39,4,173627354,32
"Jasiel NuÃ¯Â¿Â½Ã¯Â¿Â½ez, Peso P",Not Found,G,Minor,2,2,2023,2020,Rosa Pastel,24,2,123,70,68,77,8,1,2,1,4,200,0,11,4,90025258,86
"Nicky Youre, Dazy",https://i.scdn.co/image/ab67616d0000b273ecd970d1d2623b6c7fc6080c,A#,Major,3,12,2021,2020,Sunroof,35,2,131,77,71,35,156,19,110,0,17,3741,0,15,4,652704649,84
Eminem,Not Found,D,Major,1,1,2002,2000,Lose Yourself - Soundtrack Version,1,1,171,70,73,54,247,1,5567,51,21,32502,0,36,26,1829992958,6
"Eminem, Dina Rae",https://i.scdn.co/image/ab67616d0000b2736ca5c90113b30c3c43ffb8f4,E,Minor,26,5,2002,2000,Superman,2,2,130,80,76,51,18,0,1005,0,14,7615,0,20,6,655466831,64
"Mambo Kingz, DJ Luian, Anuel Aa",Not Found,B,Major,2,3,2023,2020,Mas Rica Que Ayer,34,3,94,82,67,41,10,0,20,1,34,1208,0,9,8,146409671,53
"IU, Agust D",Not Found,G,Minor,7,4,2023,2020,People Pt.2 (feat. IU),39,2,89,73,57,45,4,2,11,24,4,209,0,32,6,95816024,44
Feid,https://i.scdn.co/image/ab67616d0000b273adf20f92c3153248fd7aac9e,F,Minor,17,3,2023,2020,REMIX EXCLUSIVO,4,1,87,65,56,8,20,0,15,6,9,1235,0,15,20,117206995,71
"Arcangel, Bizarrap",Not Found,B,Minor,22,3,2023,2020,"ArcÃ¯Â¿Â½Ã¯Â¿Â½ngel: Bzrp Music Sessions, Vol",55,2,124,72,78,3,11,1,18,1,3,654,0,15,30,100409613,79
"Tyler, The Creator",https://i.scdn.co/image/ab67616d0000b273aa95a399fd30fbb4f6f59fca,G#,Major,27,3,2023,2020,DOGTOOTH,51,2,78,71,65,0,23,0,18,33,0,1479,0,22,32,80758350,80
"TiÃ¯Â¿Â½Ã¯Â¿Â½sto, Tate M",Not Found,G#,Major,1,11,2022,2020,10:35,7,2,120,70,79,104,190,18,147,63,26,4942,0,18,10,325592432,70
"Tyler, The Creator",Not Found,F#,Minor,31,3,2023,2020,SORRY NOT SORRY,40,2,96,48,80,1,8,0,13,0,0,709,0,37,20,58473276,50
NF,https://i.scdn.co/image/ab67616d0000b273ff8a4276b3be31c839557439,G,Major,25,3,2023,2020,HAPPY,31,1,106,73,86,7,22,0,11,78,0,660,0,12,4,52722996,22
Yng Lvcas,https://i.scdn.co/image/ab67616d0000b273a04be3ad7c8c67f4109111a9,D,Minor,24,12,2021,2020,La Bebe,62,1,170,78,46,11,4,1,5,2,17,489,0,12,35,191945597,75
"Kanii, PR1ISVX",https://i.scdn.co/image/ab67616d0000b273efae10889cd442784f3acd3d,B,Minor,24,3,2023,2020,I Know - PR1SVX Edit,8,2,134,67,76,15,16,0,5,1,0,407,47,30,7,77377503,11
Harry Styles,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,A#,Major,20,5,2022,2020,Late Night Talking,30,1,115,71,73,42,166,16,199,58,8,7461,0,11,5,743693613,90
MarÃ¯Â¿Â½Ã¯Â¿Â½lia Mendo,Not Found,F#,Major,9,12,2022,2020,LeÃ¯Â¿Â½,45,1,130,74,87,84,30,1,88,28,4,993,0,30,3,267789608,79
"Ariana Grande, The Weeknd",Not Found,,Major,20,3,2020,2020,Save Your Tears (with Ariana Grande) (Remix),3,2,118,65,79,98,240,3,468,10,5,9161,0,10,3,1221813483,63
Zach Bryan,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,G,Major,22,4,2022,2020,Something in the Orange,42,1,110,59,38,84,67,16,46,117,12,3282,0,12,3,449701773,22
Melanie Martinez,https://i.scdn.co/image/ab67616d0000b2733c6c534cdacc9cf53e6d2977,A,Major,29,3,2023,2020,VOID,18,1,100,72,66,9,29,0,12,52,0,596,4,19,4,67070410,42
"Fuerza Regida, Chino Pacas",Not Found,G,Minor,14,3,2023,2020,Dijeron Que No La Iba Lograr,26,2,142,70,79,48,5,1,2,9,6,320,0,11,7,116334601,76
Taylor Swift,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,,Major,21,10,2022,2020,Midnight Rain,72,1,140,64,37,29,19,0,21,0,4,2612,0,12,7,433356509,18
Mae Stephens,https://i.scdn.co/image/ab67616d0000b273918207ec2316cec13a0e036f,G,Major,10,2,2023,2020,If We Ever Broke Up,62,1,116,90,73,27,81,9,66,444,4,2040,0,9,4,165584767,96
Morgan Wallen,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,A,Major,13,5,2022,2020,You Proof,25,1,120,73,85,88,37,0,9,14,9,2128,0,61,3,367814306,64
"Feid, Mora",Not Found,F,Minor,1,4,2022,2020,LA INOCENTE,31,2,92,76,79,57,28,8,43,85,37,2598,0,7,6,477033549,46
Kenia OS,https://i.scdn.co/image/ab67616d0000b2739afe5698b0a9559dabc44ac8,G#,Minor,26,10,2022,2020,Malas Decisiones,5,1,110,81,79,2,23,0,21,0,2,542,0,31,3,156214700,64
Kordhell,https://i.scdn.co/image/ab67616d0000b2731440ffaa43c53d65719e0150,A#,Major,21,1,2022,2020,Murder In My Mind,1,1,120,71,97,68,20,0,50,22,20,2459,0,13,11,448843705,57
"Coolio, L.V.",https://i.scdn.co/image/ab67616d0000b273c31d3c870a3dbaf7b53186cc,G#,Major,11,7,1995,1995,Gangsta's Paradise,9,2,80,63,61,0,21,0,386,,17,10624,0,56,6,1357608774,40
"Karol G, Ovy On The Drums",https://i.scdn.co/image/ab67616d0000b27382de1ca074ae63cb18fce335,F,Minor,13,11,2022,2020,CAIRO,47,2,115,95,69,66,52,1,55,16,26,2418,0,9,31,294352144,43
The Walters,https://i.scdn.co/image/ab67616d0000b2739214ff0109a0e062f8a6cf0f,A#,Major,28,11,2014,2010,I Love You So,65,1,76,58,67,19,44,0,135,6,7,7536,0,13,4,972164968,46
Steve Lacy,https://i.scdn.co/image/ab67616d0000b2733d2dfa42f771cd458b194979,F#,Major,20,2,2017,2015,Dark Red,45,1,172,60,78,53,71,0,181,10,7,10431,0,12,6,920045682,77
James Arthur,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab,A#,Major,9,9,2016,2015,Say You Won't Let Go,69,1,99,40,56,37,231,0,1509,13,16,15722,0,9,5,2420461338,45
The Weeknd,https://i.scdn.co/image/ab67616d0000b2737fcead687e99583072cc217b,,Minor,27,5,2015,2015,The Hills,9,1,136,36,57,94,122,0,1992,18,4,25744,0,14,8,1947371785,12
Mac DeMarco,https://i.scdn.co/image/ab67616d0000b273fa1323bb50728c7489980672,G#,Minor,10,5,2019,2015,Heart To Heart,67,1,150,90,14,27,27,1,29,1,0,1640,35,11,10,244658767,64
Jack Black,Not Found,A#,Minor,7,4,2023,2020,Peaches (from The Super Mario Bros. Movie),79,1,92,71,31,0,0,0,0,0,0,34,0,10,5,68216992,41
"Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile",Not Found,C#,Major,15,12,2022,2020,Marisola - Remix,17,5,95,77,87,8,20,2,30,0,16,1845,0,7,5,223582566,72
"Brray, Rauw Alejandro, Lyanno",Not Found,B,Minor,25,7,2022,2020,LOKERA,21,3,102,83,83,64,72,6,64,3,30,3301,0,10,5,471819764,58
SZA,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,,Minor,9,12,2022,2020,Low,43,1,145,70,55,71,23,0,14,9,0,1911,0,16,6,272377463,34
Linkin Park,https://i.scdn.co/image/ab67616d0000b273b4ad7ebaf4575f120eb3f193,A,Major,24,3,2003,2000,Numb,0,1,110,50,86,0,39,0,7341,0,5,20111,0,64,4,1361425037,24
"Gorillaz, Bad Bunny",https://i.scdn.co/image/ab67616d0000b2734b0ddebba0d5b34f2a2f07a4,,Major,24,2,2023,2020,Tormenta (feat. Bad Bunny),46,2,95,64,77,18,32,2,39,0,0,1529,0,38,6,149778242,30
"j-hope, J. Cole",https://i.scdn.co/image/ab67616d0000b2735e8286ff63f7efce1881a02b,B,Minor,3,3,2023,2020,on the street (with J. Cole),53,2,94,68,82,82,22,0,8,9,2,615,0,9,13,116599790,81
Morgan Wallen,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,G,Major,2,12,2022,2020,One Thing At A Time,0,1,142,61,91,58,11,0,5,21,4,811,0,26,3,148469433,92
"Robin Schulz, Oliver Tree",Not Found,F#,Minor,5,8,2022,2020,Miss You,1,2,145,59,74,16,108,3,197,165,10,5730,0,15,5,497225336,20
Morgan Wallen,Not Found,F#,Minor,3,3,2023,2020,AinÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½t Tha,0,1,121,64,80,20,4,0,0,0,4,356,0,36,3,88791109,67
Morgan Wallen,Not Found,D#,Minor,3,3,2023,2020,ThinkinÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ B,49,1,140,66,76,101,22,0,0,66,6,604,0,12,3,125917280,43
"Don Toliver, Future, Justin Bieber",https://i.scdn.co/image/ab67616d0000b273feeff698e6090e6b02f21ec0,C#,Minor,23,2,2023,2020,Private Landing (feat. Justin Bieber & Future),8,3,137,84,67,3,29,0,18,19,0,1190,0,11,6,105062254,44
Morgan Wallen,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,G#,Major,31,1,2023,2020,Everything I Love,0,1,104,56,85,54,11,0,0,103,0,579,0,15,3,95623148,72
Niall Horan,https://i.scdn.co/image/ab67616d0000b2732a368fea49f5c489a9dc3949,F,Major,17,2,2023,2020,Heaven,7,1,92,57,76,6,61,0,48,150,2,1553,0,33,3,144584800,68
Central Cee,https://i.scdn.co/image/ab67616d0000b273cbb3701743a568e7f1c4e967,D,Minor,15,12,2022,2020,LET GO,86,1,146,74,45,23,49,0,110,8,20,2301,0,21,38,298063749,51
Mahalini,https://i.scdn.co/image/ab67616d0000b2732f7bb02cb4b74bd7c2406428,D,Major,23,1,2023,2020,Sial,89,1,120,56,43,6,4,0,0,23,4,134,0,12,4,166570053,20
Morgan Wallen,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,D,Major,31,1,2023,2020,I Wrote The Book,9,1,144,68,81,17,15,0,0,0,0,430,0,8,4,83021468,83
"Arijit Singh, Sachin-Jigar",Not Found,A,Major,5,11,2022,2020,"Apna Bana Le (From ""Bhediya"")",80,2,94,59,56,101,11,0,0,48,0,86,0,6,3,139836056,44
ThxSoMch,https://i.scdn.co/image/ab67616d0000b27360ddc59c8d590a37cf2348f3,G#,Major,31,10,2022,2020,SPIT IN MY FACE!,5,1,94,73,79,3,32,0,9,0,14,629,2,11,6,303216294,65
"Myke Towers, Quevedo",Not Found,G,Minor,15,12,2022,2020,PLAYA DEL INGLÃ¯Â¿Â½,8,2,113,79,74,15,30,2,34,47,15,1701,0,11,5,221409663,66
"Morgan Wallen, Eric Church",https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,E,Major,3,3,2023,2020,Man Made A Bar (feat. Eric Church),12,2,148,50,76,35,14,0,1,0,0,329,0,12,3,58890931,49
Nicki Minaj,https://i.scdn.co/image/ab67616d0000b273064c51559ea4a86bd557a86f,C#,Major,3,3,2023,2020,Red Ruby Da Sleeze,12,1,98,70,73,11,45,0,20,21,0,1168,0,11,26,81419389,29
Kaifi Khalil,https://i.scdn.co/image/ab67616d0000b2734697d4ee22b3f63c17a3b9ec,B,Major,31,5,2022,2020,Kahani Suno 2.0,91,1,140,58,38,10,1,0,1,1,6,162,0,10,4,156777415,26
SZA,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,G,Major,9,12,2022,2020,Nobody Gets Me,81,1,100,36,28,100,59,13,58,2,6,2536,0,18,3,284908316,28
"Karol G, Quevedo",Not Found,F#,Major,23,2,2023,2020,PERO TÃ¯Â¿,39,2,140,86,79,15,11,3,14,1,11,387,0,11,29,93438910,68
NewJeans,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,E,Minor,1,8,2022,2020,Hype Boy,27,1,100,59,94,119,20,2,12,7,17,892,0,29,23,363472647,78
Lady Gaga,https://i.scdn.co/image/ab67616d0000b273a47c0e156ea3cebe37fdcab8,A,Minor,1,1,2011,2010,Bloody Mary,2,1,100,59,65,26,66,3,277,734,0,3909,0,13,3,372476382,49
"Ozuna, Shakira",Not Found,,Minor,19,10,2022,2020,MonotonÃ¯Â¿Â½,42,2,132,87,70,34,118,4,150,19,15,3645,0,21,5,380726517,82
Morgan Wallen,Not Found,D,Major,3,3,2023,2020,Ã½Ã½Ã½98 Braves,10,1,142,49,67,15,6,0,0,0,0,282,0,26,3,56533272,48
Quevedo,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0,E,Minor,20,1,2023,2020,WANDA,25,1,176,72,63,24,11,1,7,7,22,888,0,21,7,175399345,96
Morgan Wallen,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,F#,Major,6,5,2022,2020,Thought You Should Know,49,1,140,53,70,53,16,0,1,61,4,968,0,14,3,203221468,51
Linkin Park,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a,D#,Minor,24,10,2000,2000,In The End,1,1,105,55,90,0,63,2,6808,0,6,25065,0,32,6,1624165576,40
Leo Santana,https://i.scdn.co/image/ab67616d0000b2737fc5a85369c7df7f5f63efa3,F,Major,8,12,2022,2020,Zona De Perigo,75,1,135,81,77,1,20,2,71,0,4,531,0,35,3,134294498,97
Treyce,Not Found,E,Minor,28,7,2022,2020,Lovezinho,30,1,128,82,59,2,12,0,13,4,0,242,0,12,4,70069745,61
"Post Malone, Doja Cat",https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97,F,Major,3,6,2022,2020,I Like You (A Happier Song) (with Doja Cat),12,2,101,74,69,21,94,15,80,38,14,5281,0,12,7,609293408,43
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,A#,Major,6,5,2022,2020,Neverita,7,1,122,88,50,64,20,6,35,0,30,2590,0,14,5,671365962,43
Quevedo,https://i.scdn.co/image/ab67616d0000b273efc1b8f6beda4abe848a84e0,,Minor,8,9,2022,2020,Vista Al Mar,80,1,105,76,56,19,16,3,21,4,34,1769,12,10,13,362361576,49
"MC Xenon, Os Gemeos da Putaria",Not Found,C#,Major,23,12,2022,2020,Sem AlianÃ¯Â¿Â½Ã¯Â¿Â½a no,73,2,83,53,36,1,6,0,21,1,4,454,0,11,33,93587665,40
"Imagine Dragons, League of Legends, JID, Arcane",https://i.scdn.co/image/ab67616d0000b273fc915b69600dce2991a61f13,B,Minor,3,9,2021,2020,Enemy (with JID) - from the series Arcane League of Legends,24,4,77,72,76,88,122,21,580,10,7,6180,0,42,28,1223481149,59
XXXTENTACION,https://i.scdn.co/image/ab67616d0000b273203c89bd4391468eea4cc3f5,B,Minor,25,8,2017,2015,Revenge,78,1,140,75,25,0,7,0,203,2,11,3600,0,11,26,1022258230,18
"Israel & Rodolffo, Ana Castela",https://i.scdn.co/image/ab67616d0000b2736ccbcc3358d31dcba6e7c035,C#,Major,3,11,2022,2020,Bombonzinho - Ao Vivo,31,2,158,65,95,69,26,2,73,6,6,1254,0,92,5,263453310,72
"J Balvin, Bad Bunny",Not Found,G,Major,28,6,2019,2015,LA CANCIÃ¯Â¿Â½,15,2,176,75,65,109,177,3,305,5,31,6398,0,11,32,1435127549,43
"Yuridia, Angela Aguilar",Not Found,B,Major,20,10,2022,2020,QuÃ¯Â¿Â½Ã¯Â¿Â½ Ago,56,2,98,73,57,59,19,5,18,52,15,660,0,5,2,236857112,88
The Kid Laroi,https://i.scdn.co/image/ab67616d0000b273a53643fc03785efb9926443d,B,Minor,27,1,2023,2020,Love Again,72,1,107,66,40,4,57,0,48,0,0,1283,0,11,3,147538971,47
The Weeknd,https://i.scdn.co/image/ab67616d0000b27360884bc925e0ca47e8006996,F,Minor,19,2,2020,2020,After Hours,10,1,109,66,57,115,45,1,218,221,6,8084,1,12,3,698086140,16
Lizzo,https://i.scdn.co/image/ab67616d0000b273b817e721691aff3d67f26c04,A#,Minor,15,7,2022,2020,About Damn Time,10,1,109,84,74,0,0,0,25,0,2,2332,0,34,7,723894473,72
Morgan Wallen,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,,Major,3,3,2023,2020,Born With A Beer In My Hand,5,1,148,53,81,9,5,0,0,0,0,203,0,36,4,34450974,61
Fujii Kaze,Not Found,F#,Minor,20,5,2020,2020,Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½Ã½,17,1,158,60,76,94,24,0,9,23,14,685,0,19,5,403097450,52
"Wisin & Yandel, ROSALÃ¯Â¿Â½",https://i.scdn.co/image/ab67616d0000b2739f05bb270f81880fd844aae8,F,Minor,29,9,2022,2020,Besos Moja2,6,2,94,74,73,7,53,3,56,1,13,2460,0,10,6,309483971,64
King,https://i.scdn.co/image/ab67616d0000b27337f65266754703fd20d29854,F#,Minor,12,10,2022,2020,Maan Meri Jaan,35,1,96,70,51,80,11,0,1,8,6,288,0,10,4,319566866,40
Bad Bunny,https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72,F,Minor,6,5,2022,2020,Moscow Mule,29,1,100,80,67,113,74,9,85,2,33,4572,0,12,3,909001996,29
"Coldplay, BTS",https://i.scdn.co/image/ab67616d0000b273f60a9b7e2abafc38da31f575,A,Major,24,9,2021,2020,My Universe,1,2,105,58,68,0,0,0,0,0,13,6127,0,14,4,1061966512,42
Morgan Wallen,Not Found,,Major,3,3,2023,2020,Devil DonÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½,38,1,125,53,66,10,2,0,0,0,0,166,0,9,3,32526947,32
ROSALÃ¯Â¿Â½,https://i.scdn.co/image/ab67616d0000b273b175e5feb05c6c28cc08ab62,F#,Minor,27,1,2023,2020,LLYLM,13,1,170,56,63,41,105,1,114,59,0,1838,0,19,27,124988687,56
"Sam Smith, Calvin Harris, Jessie Reyez",Not Found,,Major,27,1,2023,2020,I'm Not Here To Make Friends,17,3,115,70,90,1,86,0,49,9,0,1890,0,41,6,103787664,84
P!nk,https://i.scdn.co/image/ab67616d0000b27302f93e92bdd5b3793eb688c0,G#,Major,27,1,2023,2020,TRUSTFALL,0,1,122,64,89,24,88,7,101,451,16,2098,0,15,9,134255790,25
LE SSERAFIM,https://i.scdn.co/image/ab67616d0000b273a991995542d50a691b9ae5be,A#,Minor,17,10,2022,2020,ANTIFRAGILE,8,1,105,88,80,95,23,0,11,3,12,761,0,11,8,301051721,82
PinkPantheress,https://i.scdn.co/image/ab67616d0000b27342c5ba689b2e7cbc208a8fa7,F,Major,30,11,2022,2020,Boy's a liar,25,1,133,66,84,0,27,13,28,0,0,1225,0,21,4,156338624,74
"TAEYANG, Jimin",https://i.scdn.co/image/ab67616d0000b27346313223adf2b6d726388328,,Major,13,1,2023,2020,VIBE (feat. Jimin of BTS),7,2,100,79,68,40,15,1,21,15,2,415,0,26,4,152850295,60
SZA,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,D#,Minor,28,10,2022,2020,Shirt,15,1,120,82,45,95,71,0,31,2,0,3469,3,9,10,309653982,55
